Anhang zur Grünflächensatzung
Alle Grunflächen nach laufender Nummer sortiert in einer Übersicht:
Lfd. Nr.;Anlagenbezeichnung;X-Wert;Y-Wert
507;Schönstrasse 7 Spielplatz;3475640;5551814
508;Saar Caree Niddastrasse;3475659;5552407
509;Lachweg;3475673;5558554
510;Am Burghof Vogelschutzgehölz;3475674;5560598
511;Zuericher Strasse;3475690;5562332
512;Birkholzweg;3475709;5558874
513;Buchenrodestrasse;3475727;5550397
514;Chamissostrasse/ Theodor-Storm-Strasse;3475729;5556948
515;Miquelanlage;3475740;5555228
516;Marie-Bittorf-Anlage;3475742;5556439
517;Platenstraße Bolzplatz;3475750;5555788
518;Grünanlage Ludwig Ruppel Strasse;3475769;5560656
519;Behördenzentrum;3475783;5551940
